kda_agentkey,kda_mapkey,kda_kill,kda_death,kda_assist,kda_winrate,kda_atkwin,kda_defwin,kda_agentpr
11,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
4,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
7,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
1,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
10,1,13.5,12,3.4,0.51,0.49,0.52,0.13
2,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
6,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
12,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
9,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
3,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
13,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
8,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
15,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
5,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
16,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
14,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
11,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
4,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
7,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
1,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
10,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
2,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
6,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
12,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
9,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
3,2,12,12.6,4,0.49,0.48,0.51,0.07
13,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
8,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
15,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
5,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
16,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
14,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
11,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
