r_rolekey,r_name,r_weaponkey
1,Controller,1
1,Controller,2
1,Controller,3
1,Controller,4
1,Controller,5
1,Controller,6
1,Controller,7
1,Controller,8
1,Controller,9
1,Controller,10
1,Controller,11
1,Controller,12
1,Controller,13
1,Controller,14
1,Controller,15
1,Controller,16
1,Controller,17
2,Duelist,1
2,Duelist,2
2,Duelist,3
2,Duelist,4
2,Duelist,5
2,Duelist,6
2,Duelist,7
2,Duelist,8
2,Duelist,9
2,Duelist,10
2,Duelist,11
2,Duelist,12
2,Duelist,13
2,Duelist,14
2,Duelist,15
2,Duelist,16
2,Duelist,17
3,Initiator,1
3,Initiator,2
3,Initiator,3
3,Initiator,4
3,Initiator,5
3,Initiator,6
3,Initiator,7
3,Initiator,8
3,Initiator,9
3,Initiator,10
3,Initiator,11
3,Initiator,12
3,Initiator,13
3,Initiator,14
3,Initiator,15
3,Initiator,16
3,Initiator,17
4,Sentinel,1
4,Sentinel,2
4,Sentinel,3
4,Sentinel,4
4,Sentinel,5
4,Sentinel,6
4,Sentinel,7
4,Sentinel,8
4,Sentinel,9
4,Sentinel,10
4,Sentinel,11
4,Sentinel,12
4,Sentinel,13
4,Sentinel,14
4,Sentinel,15
4,Sentinel,16
4,Sentinel,17
