kda_agentkey,kda_mapkey,kda_kill,kda_death,kda_assist,kda_winrate,kda_atkwin,kda_defwin,kda_agentpr
1,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
2,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
3,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
4,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
5,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
6,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
7,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
8,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
9,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
10,1,13.5,12,3.4,0.51,0.49,0.52,0.13
11,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
12,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
13,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
14,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
15,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
16,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
17,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
18,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
19,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
20,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
21,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
22,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
23,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
24,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
25,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
26,1,13.5,12,3.4,0.51,0.49,0.52,0.13
27,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
28,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
29,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
30,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
31,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
32,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
33,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
34,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
35,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
36,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
37,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
38,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
39,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
40,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
41,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
42,1,13.5,12,3.4,0.51,0.49,0.52,0.13
43,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
44,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
45,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
46,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
47,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
48,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
49,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
50,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
51,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
52,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
53,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
54,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
55,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
56,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
57,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
58,1,13.5,12,3.4,0.51,0.49,0.52,0.13
59,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
60,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
61,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
62,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
63,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
64,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
65,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
66,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
67,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
68,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
69,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
70,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
71,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
72,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
73,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
74,1,13.5,12,3.4,0.51,0.49,0.52,0.13
75,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
76,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
77,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
78,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
79,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
80,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
81,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
82,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
83,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
84,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
85,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
86,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
87,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
88,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
89,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
90,1,13.5,12,3.4,0.51,0.49,0.52,0.13
91,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
92,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
93,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
94,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
95,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
96,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
97,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
98,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
99,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
100,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
101,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
102,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
103,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
104,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
105,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
106,1,13.5,12,3.4,0.51,0.49,0.52,0.13
107,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
108,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
109,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
110,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
111,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
112,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
113,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
114,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
115,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
116,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
117,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
118,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
119,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
120,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
121,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
122,1,13.5,12,3.4,0.51,0.49,0.52,0.13
123,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
124,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
125,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
126,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
127,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
128,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
129,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
130,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
131,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
132,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
133,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
134,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
135,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
136,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
137,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
138,1,13.5,12,3.4,0.51,0.49,0.52,0.13
139,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
140,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
141,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
142,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
143,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
144,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
145,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
146,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
147,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
148,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
149,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
150,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
151,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
152,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
153,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
154,1,13.5,12,3.4,0.51,0.49,0.52,0.13
155,1,11.9,11.6,3.9,0.50,0.49,0.52,0.11
156,1,10.6,11.2,3.7,0.49,0.49,0.50,0.03
157,1,10.6,11.7,3.3,0.50,0.50,0.50,0.04
158,1,9.9,10.5,2.5,0.48,0.48,0.48,0.04
159,1,12.4,12.7,3.8,0.50,0.45,0.53,0.01
160,1,9.2,10.1,4.5,0.47,0.48,0.49,0.01
161,1,11.3,12.1,5.4,0.50,0.49,0.51,0.04
162,1,10.6,11.8,4.2,0.47,0.49,0.51,0.04
163,1,12.5,12.8,4.3,0.51,0.49,0.51,0.07
164,1,11.6,11.8,3.6,0.52,0.49,0.53,0.07
165,1,11.5,12.1,3.7,0.46,0.48,0.52,0.05
166,1,11.2,11.7,4.6,0.49,0.49,0.51,0.05
167,1,11.1,12.2,3.9,0.50,0.49,0.52,0.14
168,1,11.1,11.1,3.1,0.50,0.49,0.50,0.06
169,1,12.7,11.7,3.2,0.51,0.49,0.51,0.13
170,1,13.5,12,3.4,0.51,0.49,0.52,0.13
1,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
2,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
3,2,12,12.6,4,0.49,0.48,0.51,0.07
4,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
5,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
6,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
7,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
8,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
9,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
10,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
11,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
12,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
13,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
14,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
15,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
16,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
17,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
18,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
19,2,12,12.6,4,0.49,0.48,0.51,0.07
20,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
21,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
22,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
23,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
24,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
25,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
26,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
27,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
28,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
29,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
30,2,9.7,10.4,2.4,0.47,0.48,0.48,0.04
31,2,11.8,12.4,3.8,0.48,0.48,0.51,0.01
32,2,9.1,10.1,4.3,0.47,0.48,0.50,0.01
33,2,11.3,12.4,4.9,0.51,0.49,0.51,0.04
34,2,10.8,11.8,3.9,0.47,0.48,0.52,0.04
35,2,12,12.6,4,0.49,0.48,0.51,0.07
36,2,11.1,11.4,3.5,0.52,0.49,0.53,0.06
37,2,11.2,11.9,3.5,0.50,0.48,0.51,0.04
38,2,11.2,11.8,4.5,0.49,0.48,0.51,0.07
39,2,10.9,12.1,3.7,0.51,0.49,0.51,0.13
40,2,11.2,11.3,2.9,0.49,0.48,0.50,0.06
41,2,12.4,11.3,2.9,0.50,0.49,0.51,0.13
42,2,13.6,11.7,3.3,0.51,0.49,0.51,0.13
43,2,11.2,11.2,3.6,0.50,0.48,0.52,0.11
44,2,10.3,10.8,3.5,0.47,0.47,0.51,0.02
45,2,10.5,11.2,3.1,0.52,0.49,0.51,0.04
